구군,동수 (개소),세대수 (세대),인구수 (명),남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
중구,9,23089,45408,22524,22884,1.3 ,2.83,"16,045"
서구,13,52500,112445,55220,57225,3.2 ,13.98,"8,043"
동구,12,43326,89842,44265,45577,2.6 ,9.74,"9,224"
영도구,11,55534,123735,61454,62281,3.5 ,14.19,"8,720"
부산진구,20,166084,370440,180298,190142,10.6 ,29.67,"12,485"
동래구,13,109040,270809,132497,138312,7.7 ,16.63,"16,284"
남구,17,115729,283384,139248,144136,8.1 ,26.81,"10,570"
북구,13,120175,302356,149887,152469,8.6 ,39.37,"7,680"
해운대구,18,165966,416311,201582,214729,11.9 ,51.47,"8,088"
사하구,16,138354,335691,168286,167405,9.6 ,41.89,"8,014"
금정구,17,105690,248606,121769,126837,7.1 ,65.27,"3,809"
강서구,8,48718,124629,66222,58407,3.6 ,181.49,687
연제구,12,86046,206259,100116,106143,5.9 ,12.1,"17,046"
수영구,10,79756,179631,85459,94172,5.1 ,10.21,"17,594"
사상구,12,96676,231239,117433,113806,6.6 ,36.09,"6,407"
기장군,5,66765,165318,82211,83107,4.7 ,218.3,757
