rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,targetDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
1,1,0,OLD,20199950,조커,2019-10-02,20191007,1386982140,49.4,-2309455870,-62.5,20739998050,167699,-247151,-59.6,2367534,1293,6500
2,2,0,OLD,20195920,가장 보통의 연애,2019-10-02,20191007,794886970,28.3,-1106355660,-58.2,9921111850,98738,-118239,-54.5,1163222,1012,5012
3,3,0,OLD,20184483,퍼펙트맨,2019-10-02,20191007,373285070,13.3,-635892060,-63,5907799350,46972,-68864,-59.4,711272,780,3071
4,4,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20191007,90263400,3.2,-187674420,-67.5,8352025650,12036,-21189,-63.8,1050150,567,1431
5,5,2,OLD,20194456,양자물리학,2019-09-25,20191007,24664420,0.9,-28527260,-53.6,4461218540,3132,-3050,-49.3,545785,362,607
6,6,2,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20191007,18681800,0.7,-19798890,-51.5,39464481084,2362,-2079,-46.8,4559058,287,446
7,7,2,OLD,20199446,원스 어폰 어 타임... 인 할리우드,2019-09-25,20191007,16194300,0.6,-21345700,-56.9,2121054970,2032,-2121,-51.1,260173,136,222
8,8,0,NEW,20191183,제미니 맨,2019-10-09,20191007,20568000,0.7,20568000,100,78672000,1724,1724,100,8170,5,5
9,9,-4,OLD,20195941,소피와 드래곤: 마법책의 비밀,2019-10-02,20191007,8575500,0.3,-85740740,-90.9,558533830,1177,-10673,-90.1,71597,233,258
10,10,-4,OLD,20196380,몬스터 하우스,2019-10-03,20191007,7224100,0.3,-47917300,-86.9,312627800,1055,-5602,-84.2,39053,105,120
1,1,0,OLD,20199950,조커,2019-10-02,20191006,3696438010,50.7,-906711140,-19.7,19353015910,414850,-99473,-19.3,2199835,1410,7097
2,2,0,OLD,20195920,가장 보통의 연애,2019-10-02,20191006,1901242630,26.1,-258836730,-12,9126224880,216977,-30307,-12.3,1064484,1057,5200
3,3,0,OLD,20184483,퍼펙트맨,2019-10-02,20191006,1009177130,13.9,-83691540,-7.7,5534514280,115836,-10347,-8.2,664300,801,3072
4,4,0,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20191006,277937820,3.8,-44775250,-13.9,8261762250,33225,-5138,-13.4,1038114,624,1448
5,5,0,OLD,20195941,소피와 드래곤: 마법책의 비밀,2019-10-02,20191006,94316240,1.3,-5248680,-5.3,549958330,11850,-688,-5.5,70420,446,686
6,6,1,OLD,20196380,몬스터 하우스,2019-10-03,20191006,55141400,0.8,-6074500,-9.9,305403700,6657,-777,-10.5,37998,193,306
7,7,-1,OLD,20194456,양자물리학,2019-09-25,20191006,53191680,0.7,-16735550,-23.9,4436554120,6182,-1975,-24.2,542653,344,553
